Date,Close,Ticker
3/14/2017,165.24,COST
3/15/2017,166.54,COST
3/16/2017,167.06,COST
3/17/2017,167.81,COST
3/20/2017,167.44,COST
3/21/2017,166.78,COST
3/22/2017,167.68,COST
3/23/2017,166.9,COST
3/24/2017,166.02,COST
3/27/2017,166.15,COST
3/28/2017,166.77,COST
3/29/2017,167.43,COST
3/30/2017,167.89,COST
3/31/2017,167.69,COST
4/3/2017,166.7,COST
4/4/2017,167.25,COST
4/5/2017,167,COST
4/6/2017,170.02,COST
4/7/2017,170.62,COST
4/10/2017,171.22,COST
4/11/2017,170.63,COST
4/12/2017,170.17,COST
4/13/2017,168.84,COST
4/17/2017,169.7,COST
4/18/2017,170.13,COST
4/19/2017,170.06,COST
4/20/2017,170.15,COST
4/21/2017,170.77,COST
4/24/2017,172.33,COST
4/25/2017,172.68,COST
4/26/2017,176.8,COST
4/27/2017,177.45,COST
4/28/2017,177.52,COST
5/1/2017,177.86,COST
5/2/2017,178.59,COST
5/3/2017,179.82,COST
5/4/2017,182.45,COST
5/5/2017,180.2,COST
5/8/2017,172.64,COST
5/9/2017,172.68,COST
5/10/2017,171.35,COST
5/11/2017,171.26,COST
5/12/2017,170.88,COST
5/15/2017,171.57,COST
5/16/2017,171,COST
5/17/2017,169.15,COST
5/18/2017,170.72,COST
5/19/2017,171.64,COST
5/22/2017,172.4,COST
5/23/2017,172.47,COST
5/24/2017,173.01,COST
5/25/2017,174.73,COST
5/26/2017,177.86,COST
5/30/2017,178.92,COST
5/31/2017,180.43,COST
6/1/2017,180.63,COST
6/2/2017,180.97,COST
6/5/2017,182.08,COST
6/6/2017,181.45,COST
6/7/2017,182.2,COST
6/8/2017,181.41,COST
6/9/2017,180.38,COST
6/12/2017,179.64,COST
6/13/2017,180.51,COST
6/14/2017,181.67,COST
6/15/2017,180.06,COST
6/16/2017,167.11,COST
6/19/2017,164.34,COST
6/20/2017,162.9,COST
6/21/2017,163.15,COST
6/22/2017,159.79,COST
6/23/2017,157.13,COST
6/26/2017,160.2,COST
6/27/2017,159.26,COST
6/28/2017,160.17,COST
6/29/2017,158.68,COST
6/30/2017,159.93,COST
7/3/2017,158.82,COST
7/5/2017,158.02,COST
7/6/2017,157.09,COST
7/7/2017,154.11,COST
7/10/2017,151,COST
7/11/2017,151.11,COST
7/12/2017,151.75,COST
7/13/2017,153.6,COST
7/14/2017,153,COST
7/17/2017,152.84,COST
7/18/2017,151.5,COST
7/19/2017,151.24,COST
7/20/2017,150.99,COST
7/21/2017,150.44,COST
7/24/2017,151,COST
7/25/2017,153.17,COST
7/26/2017,152.09,COST
7/27/2017,152.52,COST
7/28/2017,152.89,COST
7/31/2017,158.51,COST
8/1/2017,159.72,COST
8/2/2017,161.28,COST
8/3/2017,157.91,COST
8/4/2017,156.44,COST
8/7/2017,156.95,COST
8/8/2017,157.75,COST
8/9/2017,156.86,COST
8/10/2017,156.64,COST
8/11/2017,156.65,COST
8/14/2017,157.91,COST
8/15/2017,156.88,COST
8/16/2017,159.76,COST
8/17/2017,158.57,COST
8/18/2017,157.08,COST
8/21/2017,157.07,COST
8/22/2017,158.7,COST
8/23/2017,159.37,COST
8/24/2017,151.33,COST
8/25/2017,152.45,COST
8/28/2017,152.55,COST
8/29/2017,153.56,COST
8/30/2017,154.44,COST
8/31/2017,156.74,COST
9/1/2017,158.24,COST
9/5/2017,159.14,COST
9/6/2017,158.86,COST
9/7/2017,159.28,COST
9/8/2017,157.31,COST
9/11/2017,157.36,COST
9/12/2017,160.04,COST
9/13/2017,162.99,COST
9/14/2017,162.37,COST
9/15/2017,162.3,COST
9/18/2017,160.91,COST
9/19/2017,161.56,COST
9/20/2017,162.85,COST
9/21/2017,161.48,COST
9/22/2017,161.29,COST
9/25/2017,162.33,COST
9/26/2017,164.07,COST
9/27/2017,164.42,COST
9/28/2017,163.9,COST
9/29/2017,164.29,COST
10/2/2017,165.89,COST
10/3/2017,165.08,COST
10/4/2017,165.21,COST
10/5/2017,167.07,COST
10/6/2017,157.09,COST
10/9/2017,154.61,COST
10/10/2017,156.87,COST
10/11/2017,157.87,COST
10/12/2017,157.22,COST
10/13/2017,159.85,COST
10/16/2017,158.81,COST
10/17/2017,158.38,COST
10/18/2017,157.55,COST
10/19/2017,158.46,COST
